ip,domain,caa_result
210.128.97.201,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
103.2.57.6,dns.iij.jp,0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com"
23.159.160.55,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
31.155.18.140,dns.google,0 issue "pki.goog";128 issue "pki.goog"
143.244.128.32,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
165.22.61.129,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.15.58.11,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
47.254.217.107,alidns.com,0 issue "globalsign.com"
47.254.217.108,alidns.com,0 issue "globalsign.com"
210.138.123.89,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
171.239.188.137,dns.google,0 issue "pki.goog";128 issue "pki.goog"
16.162.229.103,alidns.com,0 issue "globalsign.com"
168.95.192.1,dns.hinet.net,0 issuewild ";";0 issue "pki.hinet.net"
210.130.1.1,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
210.138.123.79,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
168.110.62.65,dns.google,0 issue "pki.goog";128 issue "pki.goog"
171.97.235.158,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.130.0.72,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
212.187.164.154,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.138.123.121,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
203.180.146.23,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
210.130.0.50,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
78.13.18.81,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.222.222.222,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.130.1.3,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
54.37.137.4,spacedns.org,0 issuewild "letsencrypt.org"
49.51.173.169,dns.google,0 issue "pki.goog";128 issue "pki.goog"
46.105.230.57,doh.wewitro.net,0 issuewild "comodoca.com";0 issue "comodoca.com"
210.128.97.87,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
78.142.193.116,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.138.123.73,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
142.147.91.99,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
185.184.222.222,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
203.180.146.12,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
210.130.1.21,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
62.115.182.223,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
203.180.146.207,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
210.128.97.219,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
147.78.178.173,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
52.14.61.41,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
14.169.240.161,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.130.0.12,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
8.8.8.8,8888.google,0 issue "pki.goog";128 issue "pki.goog"
8.142.213.35,alidns.com,0 issue "globalsign.com"
185.37.252.150,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
203.180.146.11,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
45.125.0.27,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
147.78.178.173,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
62.115.182.205,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
176.9.93.198,dnsforge.de,0 issue "letsencrypt.org"
92.223.65.71,dns.comss.one,0 issue "comodoca.com"
62.133.35.17,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
203.180.146.32,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
45.11.45.11,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
78.142.193.116,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
78.142.193.50,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.138.123.110,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
185.37.252.146,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.15.58.41,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
203.180.146.28,dns.iij.jp,0 issue "globalsign.com";0 issuewild "globalsign.com";0 iodef "mailto:dns-managers@iij.ad.jp"
171.97.12.136,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.184.222.222,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
155.248.248.255,dns.sachink.net,0 issue "letsencrypt.org"
23.160.161.61,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
104.128.62.173,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
185.37.252.147,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
